POSTCODE,POSITIONAL_QUALITY_INDICATOR,PO_BOX_INDICATOR,TOTAL_NUMBER_OF_DELIVERY_POINTS,DELIVERY_POINTS_CPLC,DOMESTIC_DELIVERY_POINTS,NON_DOMESTIC_DELIVERY_POINTS,PO_BOX_DELIVERY_POINTS,MATCHED_ADDRESS_PREMISES,UNMATCHED_DELIVERY_POINTS,COUNTRY_CODE,NHS_REGIONAL_HA_CODE,NHS_HA_CODE,ADMIN_COUNTY_CODE,ADMIN_DISTRICT_CODE,ADMIN_WARD_CODE,POSTCODE_TYPE,WKT
EX1 1EE,10,N,32,32,18,14,0,15,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292079 92307)
EX1 1HS,10,N,12,12,2,10,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292061 92517)
EX1 1LR,10,N,32,32,32,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292179 92688)
EX1 1YZ,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 2LR,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (293008 92710)
EX1 9SG,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292446 92788)
EX2 4AB,10,N,12,12,8,4,0,7,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291919 92143)
EX2 4ET,10,N,21,21,21,0,0,21,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292519 92092)
EX2 4EY,10,N,5,5,5,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292757 92305)
EX2 4HJ,10,N,4,4,4,0,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292536 92175)
EX2 4LS,10,N,42,42,40,2,0,40,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292690 92070)
EX2 4UJ,10,N,9,7,8,1,0,7,2,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292223 92065)
EX4 1AD,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003506,S,POINT (291486 92050)
EX4 1BT,10,N,26,26,26,0,0,26,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003506,S,POINT (291124 92139)
EX4 1DQ,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX4 3AX,10,N,8,8,0,8,0,7,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291853 92526)
EX4 3BH,10,N,24,24,19,5,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291689 92535)
EX4 3BP,10,N,22,22,22,0,0,22,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291531 92443)
EX4 3QA,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (292013 92697)
EX4 3QJ,10,N,4,4,0,4,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292226 92921)
EX4 4DN,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (291448 93020)
EX4 4EU,10,N,45,45,45,0,0,18,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292240 93101)
EX4 4HD,10,N,23,23,22,1,0,13,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292298 93326)
EX4 4HE,10,N,30,30,30,0,0,21,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292143 93241)
EX4 4HG,10,N,48,48,48,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291913 93111)
EX4 4JU,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (291538 93314)
EX4 6BZ,10,N,40,40,39,1,0,24,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292519 93479)
EX4 6JP,10,N,42,42,42,0,0,41,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003498,S,POINT (292798 94016)
EX4 6JR,10,N,2,2,2,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003498,S,POINT (292931 94015)
EX4 6PE,10,N,6,6,6,0,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292548 93142)
EX4 6QD,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292541 93388)
EX4 6QE,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292548 93382)
EX4 8XZ,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 1AF,10,N,10,10,9,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292245 92317)
EX1 1BZ,10,N,16,16,16,0,0,15,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291977 92442)
EX1 1DA,10,N,4,4,1,3,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291947 92428)
EX1 1PZ,10,N,4,3,0,4,0,1,1,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292411 92725)
EX1 1QZ,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (292402 92642)
EX1 2EF,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 2EU,10,N,27,27,27,0,0,9,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292932 92951)
EX1 2FH,10,N,15,15,15,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292678 93106)
EX1 2JP,10,N,28,28,28,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292897 93197)
EX1 2LS,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (293008 92710)
EX1 9SU,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292446 92788)
EX1 9UD,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX2 4JD,10,N,19,19,17,2,0,8,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292189 92188)
EX2 4NA,10,N,56,56,56,0,0,56,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292500 92023)
